id,compartments,species,reactions,parameters,events,rules,function_definitions,time,bytes,gctime,gcstats,filesize
MODEL1006230024,1,0,0,54,0,32,0,0.055374448,3812342,0.0,"Base.GC_Diff(3812342, 6, 0, 83855, 53, 0, 0, 0, 0)",37242
BIOMD0000000760,1,2,4,9,0,0,0,0.016306989,1057312,0.0,"Base.GC_Diff(1057312, 3, 0, 21378, 14, 0, 0, 0, 0)",37200
MODEL1004010002,1,31,31,55,0,0,0,0.041396104,676936,0.0,"Base.GC_Diff(676936, 2, 0, 16648, 17, 0, 0, 0, 0)",37086
MODEL1004010001,1,31,31,55,0,0,0,0.043254525,1993600,0.0,"Base.GC_Diff(1993600, 5, 0, 60563, 35, 0, 0, 0, 0)",37074
MODEL1004010000,1,31,31,55,0,0,0,0.04032029,1065585,0.0,"Base.GC_Diff(1065585, 1, 0, 20553, 23, 0, 0, 0, 0)",37018
MODEL1172425728,1,0,0,109,0,64,0,0.077747115,3106833,0.0,"Base.GC_Diff(3106833, 5, 0, 63061, 58, 0, 0, 0, 0)",36586
MODEL8687196544,1,0,0,47,0,25,0,0.055168242,1026712,0.0,"Base.GC_Diff(1026712, 2, 0, 30938, 23, 0, 0, 0, 0)",36515
BIOMD0000000776,1,2,4,7,0,1,0,0.020767141,161176,0.0,"Base.GC_Diff(161176, 0, 0, 2932, 6, 0, 0, 0, 0)",35732
MODEL1704110001,1,18,31,31,0,0,0,0.022533864,945232,0.0,"Base.GC_Diff(945232, 2, 0, 28578, 14, 0, 0, 0, 0)",35123
MODEL7889395724,1,0,0,48,0,26,0,0.0318477,1686024,0.0,"Base.GC_Diff(1686024, 6, 0, 47688, 24, 0, 0, 0, 0)",35030
BIOMD0000000782,1,2,5,6,0,1,0,0.016328809,738008,0.0,"Base.GC_Diff(738008, 1, 0, 21429, 15, 0, 0, 0, 0)",34827
MODEL1006230114,1,0,0,89,0,41,0,0.028728749,630453,0.0,"Base.GC_Diff(630453, 1, 0, 14167, 20, 0, 0, 0, 0)",34516
MODEL1012140000,1,3,0,14,0,3,0,0.032102206,719080,0.0,"Base.GC_Diff(719080, 1, 0, 17650, 21, 0, 0, 0, 0)",34486
